agent_id,known_as,agent_city_text,agent_state_text,best_match_slug,best_match_name,best_match_state,similarity,reason
39773196-9ae9-4d76-a0bc-6f9493a9f5c3,Bismillah Tours & Travels Pvt. Ltd.,"Bhawani Peth, Pune",Uttar Pradesh,bhawani-mandi-in-35,Bhawāni Mandi,Madhya Pradesh,0.348,similarity 0.348 < 0.8
ae2bf26e-0a16-4936-bdbc-a16f7afb2d09,Saheeb Haj Services,Gulbarga,Karnataka,yelbarga-in-19,Yelbarga,Karnataka,0.385,similarity 0.385 < 0.8
050986a5-01c8-431f-8101-d2c331b4f896,Alhind Tours & Travels Pvt. Ltd.,Calicut,Kerala,,,,,no candidate found
f2d9dc79-4d76-461b-86a0-19a4b9a4d15c,Al Hussam India Hajj & Umra Service Management,Cochin,Kerala,,,,,no candidate found
973e225e-26c2-474f-9465-e11a4b7aa29b,Al-Hidaya Hajj Service,Kerala,Kerala,keran-in-12,Keran,Jammu and Kashmir,0.444,similarity 0.444 < 0.8
951e87f8-834c-44d7-975a-c19325e26bc8,Al-Haramain Hajj Umra Travels,Kerala,Kerala,keran-in-12,Keran,Jammu and Kashmir,0.444,similarity 0.444 < 0.8
460112ab-1dee-48c6-9646-851a5930f75d,Aslam Haj Travel And Tours,Kerala,Kerala,keran-in-12,Keran,Jammu and Kashmir,0.444,similarity 0.444 < 0.8
a7300d3e-e317-450f-9eb5-26d03e4bc054,Altima Tours & Travels (P) Ltd,Trivandrum,Kerala,,,,,no candidate found
57390930-b45b-4cbe-88fa-f7d9c773fbe3,Air Travel Enterprises Ltd,Triivandrum,Kerala,,,,,no candidate found
1eea4805-b872-44b2-85ab-81ffdc3090c5,Indian Hajj Service Corporation,Trivandrum,Kerala,,,,,no candidate found
d58e0349-bd29-41ef-ae9c-f47a44d543ba,Vazco Haj group,Calicut,Kerala,,,,,no candidate found
2b8b3d71-711f-4133-b30a-0e37ac48aaad,Kerala Islam Hajj  & Umrah Service,Calicut,Kerala,,,,,no candidate found
ebdfb806-c326-4316-a56e-231a30494668,Salamath Haj Group,Calicut,Kerala,,,,,no candidate found
fb5f8157-b0e6-4a07-aa02-6c62c1f9b79c,"ZAM ZAM HAJ SERVICES,",Calicut,Kerala,,,,,no candidate found
ed8a76d0-8ed8-4890-aae0-a3398be32020,Syedina Tours And Travels,Bangalore,Maharashtra,banga-in-23,Banga,Punjab,0.455,similarity 0.455 < 0.8
fe5ac2b8-f9a7-4006-8b60-f5d046043032,Hajipir Haj Tour,Bhuj Kutch,Gujarat,bhuj-in-09,Bhuj,Gujarat,0.455,similarity 0.455 < 0.8
97fbf26d-85de-4f78-b9b0-70b60b17ddce,M.G. Tours & Travels.,Parganas,Maharashtra,,,,,no candidate found
a8a0b003-0b50-4616-bc66-7458ea21a419,Zam Zam Haj Tours and Travels,Madanpura,Jammu and Kashmir,madanpur-in-28,Madanpur,West Bengal,0.727,similarity 0.727 < 0.8
413b3fc4-bbe3-4e10-b464-d9c426f35e5b,Ashiyana Tour & Travels,Laxmi Nagar,Delhi,aya-nagar-in-07,Aya Nagar,Delhi,0.375,similarity 0.375 < 0.8
b360ee26-26b2-4d71-ac3e-7e0fb7927d08,Haj Corporation Of India,Bangalore,Maharashtra,banga-in-23,Banga,Punjab,0.455,similarity 0.455 < 0.8
533c6063-b5ce-4f52-ac3d-1b2b2663cd9f,Ateeq Haj Tours & Travels,Bangalore,Karnataka,banga-in-23,Banga,Punjab,0.455,similarity 0.455 < 0.8
42b30b71-3783-4a88-8776-f087645d50e5,Seair  Haj Services,Bangalore,Karnataka,banga-in-23,Banga,Punjab,0.455,similarity 0.455 < 0.8
193282d5-b30d-4cf8-9901-79ff5e21702e,Karnataka Haj Group,Bangalore,Karnataka,banga-in-23,Banga,Punjab,0.455,similarity 0.455 < 0.8
397b7ccd-3958-4eb6-ad8a-7d17cef8fdbb,Al-Sayed Tours International,Bangalore �,Karnataka,banga-in-23,Banga,Punjab,0.455,similarity 0.455 < 0.8
7e795e00-fbf9-4807-9a48-036f97c42065,Labbaik Tours & Travels,Bangalore,Karnataka,banga-in-23,Banga,Punjab,0.455,similarity 0.455 < 0.8
8cc3d641-2a29-422f-af86-02d85fa21105,Al-Manasik Tours International,Bangalore,Karnataka,banga-in-23,Banga,Punjab,0.455,similarity 0.455 < 0.8
48da7b3c-c5b0-447b-94e8-4f4abb0bf4ca,Allahu Akbar Tours & Travels,Bangalore,Karnataka,banga-in-23,Banga,Punjab,0.455,similarity 0.455 < 0.8
e2e1ebfa-e20e-4b02-9dd6-ef1e10ea5031,JS Tours & Travels,Banglore,Karnataka,bang-in-21,Bang,Odisha,0.400,similarity 0.400 < 0.8
bc459cc2-bd2f-40a5-be14-13ddb8533be8,Bismillah Tours & Travels,Bangalore,Karnataka,banga-in-23,Banga,Punjab,0.455,similarity 0.455 < 0.8
e24d95ba-74f7-43e7-8230-1a9ff5635156,Al-Madinah Tours And Travels,Bangalore,Karnataka,banga-in-23,Banga,Punjab,0.455,similarity 0.455 < 0.8
49851678-c909-4465-97e0-2c15c1c923a6,Meezab -E- Rahemet Haj Umrah & Ziyarat Tours,Nasik,West Bengal,nashik-in-16,Nashik,Maharashtra,0.444,similarity 0.444 < 0.8
1f42c6b6-1e8e-43e2-8404-12a7b7aef711,Hamdaan Travel Services,Kolkata,Maharashtra,kolki-in-16,Kolki,Maharashtra,0.400,similarity 0.400 < 0.8
800ad241-118b-48b6-8fe6-f6f1bfa9dc36,Arfa Tours &  Travels,Uran,Gujarat,utran-in-09,Utrān,Gujarat,0.375,similarity 0.375 < 0.8
56ae93fa-878b-476b-b9da-06bfa8c50b8e,Al Aqsa Tours & Travels,Kolkata,Maharashtra,kolki-in-16,Kolki,Maharashtra,0.400,similarity 0.400 < 0.8
0c3307ed-9153-4445-9a38-2e87c1212bf6,Al-Ameen Tours & Travels,Kanpuri,Uttar Pradesh,kanpur-in-36,Kanpur,Uttar Pradesh,0.667,similarity 0.667 < 0.8
